Statistics_cost_function_integrate,Statistics_gradient_integrate,Statistics_surface_movable_integrate,Statistics_volume_integrate,Norm_expansion_H1
4.8060112617604664,6.687643234868979,237.73665961010255,251.99999999999952,1.8161007279061046
5.5722789403844555,8.181701007479475,229.0130267094765,231.75362411118286,0.23192763673054576
5.635825067207202,8.290352411664172,227.9875206887637,229.16855285247766,0.6377743744163358
5.308212816783543,7.62048712916057,230.82997047680766,235.4253579884432,0.8469485963746812
4.92307984074969,6.855510275599622,234.74867445274003,244.21841373683773,0.6956795743272736
4.63972925979256,6.303970277495648,237.97352440151295,251.47445639632576,0.39870022266685906
4.488159014111884,6.010594185621314,239.7559966284511,255.42091274800183,0.14388581308185194
4.439728670864451,5.912931215790083,240.19700698822092,256.26407471169944,0.1073637095219225
4.448971360666472,5.923197256951835,239.84005111695436,255.25622615934145,0.13831902442794153
4.475186697362092,5.9651875079427725,239.25082001907808,253.70792218696715,0.12044193288178563
4.492650179333892,5.991026276603771,238.78920609717613,252.45263477503326,0.09576206703796422
4.491995837886507,5.983338254922429,238.5827536993154,251.785443036173,0.09415979439809044
4.47540701304797,5.94633989044374,238.60266130289102,251.64015540502965,0.10245676358474494
4.449917924124686,5.893262431448976,238.755391881105,251.80119740902765,0.10513316116915851
4.422320430838619,5.836764911667212,238.94861398141018,252.05561316144207,0.10168925890600887
4.396827299886628,5.784606156817037,239.1227639727092,252.26586262182735,0.09637396401121474
4.374905981049598,5.739417808849881,239.2552881519804,252.37973456803468,0.0920790116932958
4.356178340811599,5.700433801446511,239.34984474161277,252.40552978312215,0.08943023951833916
4.339500424179011,5.665506762384712,239.42172817926686,252.37845271510415,0.0880029301657876
4.323751552767717,5.632557511518057,239.4865520751805,252.33448861808245,0.0872678367663386
4.30820917602008,5.600251581640852,239.55456632399643,252.29727955972106,0.08681596719200488
4.292591588518102,5.568066489373146,239.62976577845487,252.27605914334873,0.08636257043744727
4.276923793668452,5.536039475497037,239.71166283064,252.26973268220337,0.08576263059084842
4.261364549457616,5.504449024922746,239.797737660362,252.27252001987043,0.08500146612492604
4.246075646532362,5.473576852176026,239.88535707269492,252.27837436932785,0.08414063664967435
4.231157829868565,5.443592843455857,239.97275751363952,252.28324624158134,0.08325628946567173
4.216641597371487,5.414539867607544,240.05922263636148,252.28549321773042,0.08240224807907687
4.202507800982762,5.38637203095404,240.14480233080965,252.2852344613673,0.08160141864763204
4.188715415089153,5.359005179278878,240.2299049817077,252.2834135641043,0.08085344944782331
4.175222987761099,5.3323554811591265,240.314970766941,252.28104774098915,0.08014662298984321
4.16199945857709,5.30635862147872,240.40029972477043,252.27883277267338,0.07946744927890607
4.149025987737195,5.280972814259086,240.4860164135068,252.27706175716244,0.07880594931676779
4.420538782793446,5.766418755016474,240.56381826466443,252.3437814433543,0.10495909111398068
4.4001193999530015,5.721880652932692,240.6981840978953,252.40032448675103,0.10196457025542663
4.381963783171086,5.6821199172771975,240.80656247348875,252.39738629340442,0.10008553511678832
4.365098018004895,5.645205184869933,240.90259742357455,252.3658140262591,0.0989665584052732
4.348739800414933,5.609597301501088,240.99756547496355,252.3311196525208,0.09823727022088716
4.3324745035011984,5.57447939228448,241.09749667617703,252.30695940571965,0.09761149475162535
4.3162084747383425,5.53965751213083,241.20366114913028,252.29623344009832,0.09691613960471089
4.300030842387098,5.505289002578049,241.31452896301718,252.29551553428314,0.09609580922305785
4.284080857827631,5.471625672051735,241.4277438293816,252.2995107567798,0.09517903210169783
4.268465916465507,5.438857044818482,241.541391410203,252.30391785402492,0.09422614724206484
4.253233752056708,5.407058485233557,241.6544637290508,252.30647653328526,0.09328941864383461
4.238380877696033,5.376208504368187,241.76676076501877,252.30674557123677,0.09239696263367185
4.223875502906184,5.346233063884956,241.8785505723538,252.30533730368128,0.09155454161376685
4.209679167484251,5.317046827534678,241.99023313653052,252.30316115884827,0.09075470741085868
4.1957599221482464,5.28857798095519,242.1021273176661,252.30094460979254,0.08998590110396759
4.182096629166213,5.260776091505148,242.21439522068516,252.29906331367616,0.0892383257069927
4.168677380101437,5.23360887366573,242.32706148249778,252.29758448087293,0.08850622541004652
4.155495609496568,5.207054702400175,242.44007233299612,252.29639940958637,0.0877875936115781
4.142546475398863,5.181095722696443,242.55335295432468,252.29535206949782,0.08708270258504189
4.129824660873348,5.155713690409338,242.66684333531447,252.29431939428292,0.0863925744671851
4.1173236461292735,5.130888596591681,242.78051061833503,252.29323889083756,0.08571797550843042
4.1050359462272805,5.106599100303985,242.89434541960347,252.29210038964888,0.08505903081829987
4.092953721724683,5.082823648754583,243.00835157945946,252.2909231294228,0.0844152810792819
4.081069340512955,5.059541496576986,243.12253636670698,252.28973388236906,0.08378593377729125
4.069375704085102,5.036733281066953,243.23690443397277,252.2885534709373,0.08317011816858094
4.057866332990542,5.014381149280792,243.35145579813909,252.28739226999085,0.08256704956487992
4.046535296375727,4.99246859854705,243.46618653196052,252.28625175097514,0.08197608935388485
4.035377083744681,4.970980213916931,243.58109054350558,252.28512844436628,0.0813967315840944
4.024386488110564,4.949901430454709,243.69616125173462,252.2840176665547,0.08082855768174414
4.013558530647583,4.9292183750674035,243.81139260807527,252.28291578974375,0.080271191218857
4.002888427034093,4.908917787190178,243.9267794279898,252.2818209779935,0.07972426843145629
3.9923715809914495,4.88898699086938,244.04231726293787,252.28073290342678,0.07918742656997992
3.98200358854747,4.869413887552225,244.15800209161443,252.27965206259245,0.07866030472703257
3.9717802414861403,4.850186948267173,244.2738300329713,252.27857914204208,0.0781425500620729
