Statistics_cost_function_integrate,Statistics_gradient_integrate,Statistics_surface_movable_integrate,Statistics_volume_integrate,Norm_expansion_H1
-0.009095187654776429,0.0005895282636339608,12.46873265032337,995.8702045441133,0.026489432227180927
-0.018627281360838334,-0.019760002593812588,12.576281908566795,995.8166557923895,0.006560052653839868
-0.028292794279671615,-0.04071864142489878,12.60132372713151,995.804157864356,0.006198056388330563
-0.03794654895455769,-0.061939438030519364,12.577911128733094,995.8158519345683,0.01038679602005397
-0.047529273596411514,-0.08318093687304957,12.536717802471827,995.8363991027163,0.00982341656139658
-0.05704324199478485,-0.10432260295174278,12.497896908389519,995.855735439402,0.007066426544597313
-0.06651801384921038,-0.12533658526194236,12.470743119580487,995.8692487944995,0.004149119675494317
-0.07598455352236932,-0.1462466631945126,12.456689089796058,995.8762464441922,0.0024620205278735306
-0.08546270537498347,-0.1670939630141703,12.452932914093857,995.878130603038,0.002349610115948979
-0.09495926720533802,-0.18791611160797908,12.455333674255394,995.8769600363971,0.0025652906514947323
-0.10447170669493333,-0.2087385478030933,12.460184744451334,995.8745750076951,0.0025592232039630468
-0.11399334196748212,-0.22957385593446655,12.464979714989003,995.8722199977934,0.0024313212641423197
-0.12351750679644355,-0.2504250304457775,12.46847978045824,995.8705105347316,0.0023260700448963847
-0.13303979793335377,-0.2712897117824262,12.470412127686009,995.8695824468814,0.0022853506121322067
-0.14255856305034187,-0.292163718551867,12.471061166044977,995.8692945939546,0.002281920626035254
-0.1520742816455982,-0.31304325304465563,12.470914273791193,995.869404852368,0.0022856615429058358
-0.16158854269460754,-0.33392584392632935,12.470429804265567,995.8696854676358,0.002286070902751288
-0.17110312556109125,-0.3548104139953726,12.469928753780348,995.8699769349253,0.00228416486390703
-0.18061942456678232,-0.3756969108031095,12.469577443330088,995.8701966136466,0.0022825161491372642
-0.19013823991123643,-0.3965858359754214,12.469420332624463,995.8703224163598,0.0022819199464865253
-0.1996598343882952,-0.41747786249030694,12.469429065366501,995.8703684347049,0.002281994944508598
-0.20918412046060428,-0.4383736042804455,12.469546477164036,995.8703630728046,0.0022822623168843492
-0.21871086476927842,-0.45927352462766546,12.469716303986761,995.8703342871285,0.0022825221999114597
-0.22823984319997956,-0.4801779368206873,12.46989779354597,995.8703023271231,0.0022827633635862685
-0.23777092433447108,-0.5010870483206249,12.470068859277225,995.8702781680034,0.0022830146258496953
-0.24730408981905885,-0.5220010126731438,12.470222661122902,995.8702652093968,0.0022832859347461784
-0.2568394143437442,-0.54291996991401,12.470361814285031,995.8702621526377,0.0022835720016642007
-0.2663770290716332,-0.5638440696618245,12.47049296195843,995.8702656975203,0.002283866862200294
-0.2759170861707636,-0.584773479197417,12.470622983109598,995.8702724265839,0.00228416914287106
-0.2854597337404844,-0.6057083820303515,12.470757033152703,995.870279778773,0.0022844803214370785
-0.2950051032840842,-0.626648972376132,12.470898025749715,995.870286306959,0.0022848020915362858
-0.3045533074177418,-0.647595449335635,12.471046973936144,995.8702915084807,0.002285135292546519
-0.3141044437441688,-0.6685480126746236,12.471203669592775,995.8702954875087,0.002285480031432695
-0.3236586010003742,-0.6895068606327612,12.471367350158552,995.8702986237794,0.002285836095235385
-0.3332158647623874,-0.7104721893615858,12.471537180469298,995.8703013331298,0.0022862032216647565
-0.34277632136756375,-0.731444193313187,12.471712513128768,995.8703039381272,0.0022865812004369854
-0.3523400598215509,-0.7524230659668515,12.47189296843813,995.8703066283493,0.0022869698924040394
-0.3619071721129359,-0.7734090004995406,12.472078402701179,995.8703094761005,0.0022873692235591057
-0.37147775259231613,-0.7944021902240681,12.472268829186268,995.8703124757157,0.002287779171231368
-0.3810518970204796,-0.8154028287831097,12.472464336593676,995.870315584064,0.002288199746223665
-0.3906297016960908,-0.8364111101648598,12.47266502810152,995.8703187508452,0.002288630974788392
-0.40021126286006486,-0.857427228627337,12.47287098702514,995.870321935638,0.0022890728847482864
-0.40979667640657574,-0.8784513786022343,12.473082264969985,995.8703251138196,0.00228952549778482
-0.4193860378343769,-0.8994837546182411,12.473298884421027,995.8703282752566,0.002289988827237903
-0.4289794423384699,-0.9205245512590077,12.473520847845084,995.8703314197871,0.002290462879329762
-0.43857698495155273,-0.9415739631507125,12.473748147615009,995.8703345522871,0.002290947655738771
-0.44817876067433843,-0.9626321849705378,12.473980773686709,995.8703376788616,0.0022914431561206843
-0.4577848645655696,-0.9836994114625802,12.474218718099632,995.8703408046084,0.0022919493799227362
-0.4673953917869528,-1.00477583745391,12.474461976684575,995.8703439327605,0.0022924663273660743
-0.4770104376128234,-1.0258616578667479,12.474710548912382,995.8703470647633,0.0022929939997499526
-0.48663009741884705,-1.0469570677251974,12.474964436855284,995.8703502007887,0.0022935323993364173
-0.49625446666316003,-1.0680622621584284,12.475223643981137,995.8703533403509,0.0022940815290495345
-0.5058836408689589,-1.0891774364011646,12.475488174196126,995.8703564827723,0.0022946413921677636
-0.5155177156127411,-1.1103027857936827,12.47575803126286,995.8703596274498,0.002295211992096381
-0.5251567865186212,-1.131438505782698,12.476033218549324,995.8703627740083,0.002295793332227778
-0.5348009492579724,-1.1525847919214882,12.476313739026425,995.8703659223123,0.002296385415889883
-0.5444502995523488,-1.173741839872404,12.47659959539579,995.8703690723661,0.002296988246363539
-0.5541049331772894,-1.1949098454091496,12.476890790228824,995.870372224253,0.0022976018269170195
-0.563764945965758,-1.2160890044190669,12.477187326079095,995.8703753781228,0.0022982261608332647
-0.5734304338114998,-1.2372795129059297,12.477489205574072,995.8703785340695,0.002298861251456223
