Statistics_DgDgt_integrate,Statistics_DggradJ_integrate,Statistics_cost_function_integrate,Statistics_norm_inf_DgT_max,Statistics_volume_integrate,Norm_expansion_H1
121.87037145971952,-19.64446096305178,16.908696012329525,19.6420760715147,96.85966884304513,0.08495534059709013
122.9826798967581,-19.335122371231808,16.622606618020015,19.811950681771403,96.86050465303046,0.08266700280545118
123.88554184777078,-19.054131871144143,16.357869938441443,19.92734539031297,96.8643790862418,0.07490271911945343
127.45811470857889,-18.823910246067847,16.136895145428117,20.474712842479278,96.86784543530143,0.06540733529425825
129.50409046699275,-18.64343852013638,15.960435228087057,20.77257486174767,96.8700162507242,0.05910187893313611
129.98500199755023,-18.495496234140617,15.813088803192198,20.804411994200592,96.87150065849009,0.05508635399111331
130.4297412201472,-18.369259800062125,15.684973448193507,20.824791820679522,96.87272967577874,0.051542611719380405
130.83572229547048,-18.261208006129266,15.573131482806271,20.83439811374306,96.87365895855584,0.04839688607765612
131.2014361969996,-18.16829164564189,15.474944470837665,20.83403537097564,96.87434059435155,0.045585973663984286
131.52635864893102,-18.088050802411665,15.38828134097566,20.824418741810014,96.8748271526785,0.0430585411292708
131.81067815820072,-18.01850860977482,15.311418756731193,20.806181301500665,96.8751604558668,0.04077296728186097
132.0550820894385,-17.958063885075084,15.242953133359933,20.779903969813084,96.87537272747531,0.038695249925670056
132.26060354140998,-17.90540756051288,15.181731018544928,20.746137802392475,96.87548882847913,0.036797371332849445
132.4285121531358,-17.859459725180137,15.126796295340837,20.70541676631841,96.87552807656677,0.03505605708177046
132.56023552042947,-17.819321983004553,15.07735005444273,20.65959809191938,96.8755055973992,0.03345182992871435
132.65730199139426,-17.784241004381933,15.032719785973432,20.61779661445568,96.87543332050618,0.0319682817236651
132.7212984774386,-17.753580322564485,14.992335468125356,20.57025443207987,96.87532071860304,0.030591507536524364
132.7538388596179,-17.726798275919435,14.955710816965597,20.517373977929495,96.87517536170739,0.029309661672051842
132.75653990114142,-17.703430587729404,14.922428442750402,20.45954588268015,96.87500333639004,0.028112271459179872
132.73100140212304,-17.6830771526609,14.892128801873135,20.397152398861653,96.87480940229736,0.026989725025087074
132.67879227421489,-17.66539155105956,14.86450157518888,20.330569533224406,96.87459707638698,0.02364648304350052
132.59670444634304,-17.65448388468699,14.84474790757736,20.261298868854407,96.8731787413264,0.02268289538127353
132.50594167093658,-17.642661263014254,14.824046380644893,20.194130578435733,96.87280158088404,0.021734809361846213
132.46917495106425,-17.632284682096117,14.804925413294784,20.136633502210618,96.8724888879181,0.020826168014397448
132.51146946249983,-17.62334888645839,14.787413923921548,20.09265528522785,96.87217195375025,0.01995515388709495
132.54496482283886,-17.61569776082995,14.771378833582911,20.04809583595869,96.8718471436646,0.01913096570676357
132.5705657568407,-17.609158140953014,14.756661156502641,20.003179436259995,96.87152215635507,0.018350035176055098
132.5890508268725,-17.60358865786983,14.74313322131938,19.9580875594975,96.87119852264065,0.01760940010437579
132.60110712652556,-17.598863302609136,14.730681356253166,19.912978626624703,96.87087725967334,0.016906405453096563
132.6073415568744,-17.59486896266596,14.71920341440705,19.867990589302966,96.8705592062935,0.016238652169246453
132.6082903130987,-17.59150397420185,14.708607334937401,19.82324263074322,96.87024506361658,0.015603964408562772
132.60442761683296,-17.58867693860834,14.698809950803707,19.778836818201256,96.8699354166734,0.01500036184976891
132.5961736732889,-17.58630572574125,14.68973597207404,19.734859713131215,96.86963075174015,0.014426035780341243
132.5839018289026,-17.584316627078127,14.681317115313265,19.691383914046366,96.86933147064968,0.013879328352234523
137.55544547436062,-17.54378562806385,14.695699038842543,21.42035639261439,96.86903790267222,0.011244155114682986
137.85513014647623,-17.551179251532098,14.694282292268605,21.407342889234226,96.86707316389324,0.010931698729768635
138.10350781405333,-17.554472877976725,14.688616090872117,21.39222509746506,96.86687871453542,0.010589809114457753
138.34372595459325,-17.557959719878824,14.68328391894004,21.377676839936758,96.86669314081027,0.010259817632606114
138.57636301338084,-17.561636826551627,14.678281285749183,21.363688442005614,96.86650938258119,0.00994148759825188
138.80178610306803,-17.56548471067803,14.67358653959452,21.350239359809876,96.86632761938486,0.009634294570843993
139.02033067643762,-17.56948496570863,14.669179620144325,21.33730942885023,96.86614801731837,0.00933775494764754
139.23230466285955,-17.573620243423687,14.665041933617923,21.324879003947068,96.86597072008094,0.009051420735221312
139.43799179771833,-17.577874214347833,14.661156217420704,21.312929041237336,96.86579585148186,0.008774874728728184
139.63765450111052,-17.582231536140878,14.657506421813032,21.301441150272456,96.86562351759862,0.00850772646903241
139.8315363664093,-17.586677827103614,14.65407760586639,21.290397623759787,96.86545380864536,0.008249608840774279
140.01986431115472,-17.591199642576335,14.650855845476354,21.27978145067036,96.86528680059547,0.008000175206334541
140.20285043574913,-17.59578445247048,14.647828151579507,21.26957631705998,96.8651225566128,0.007759096993379884
140.38069362982932,-17.600420618599852,14.64498239708782,21.259766597923427,96.86496112830265,0.007526061671999879
140.55358096061653,-17.605097370754123,14.642307251258387,21.250337342578227,96.86480255681843,0.00730077106824005
140.72168887332776,-17.60980478074466,14.639792120448265,21.241274255477716,96.8646468738427,0.00708293996963391
140.88518422981818,-17.61453373394363,14.637427094385021,21.232563673885828,96.86449410246401,0.006872294983615164
141.04422520833361,-17.619275898036427,14.63520289722217,21.22419254349735,96.86434425795983,0.006668573613909792
141.19896208415295,-17.624023688966897,14.633110842779411,21.216148392808172,96.86419734850332,0.006471523522268952
141.34953790840743,-17.628770234191272,14.631142793457514,21.208419306844164,96.86405337580526,0.0062809019454492816
