Statistics_DgDgt_integrate,Statistics_DggradJ_integrate,Statistics_cost_function_integrate,Statistics_norm_inf_DgT_max,Statistics_volume_integrate,Norm_expansion_H1
45.46707309567217,-42.89619453083198,29.62458550931073,4.093922160422902,995.8702045441133,0.7560993570594634
148.1685879780361,-43.36896995589879,28.930073413140473,16.577105655745225,995.7128319954152,0.13078915417434833
144.39050713203073,-43.08508864380946,28.298305057255828,15.800192492731838,995.850080369245,0.07675023084250047
137.2876040470995,-43.72655153258026,28.306346328942684,13.69207957488678,995.8647225758148,0.07293449650232546
119.31250269876193,-43.3513264734292,28.11263391484897,11.954115244386792,995.8756196059243,0.08429741463224229
122.16320399013708,-43.35057974271051,28.047558843103545,11.970371575436777,995.870927245263,0.07898053454893947
114.37991119007641,-43.69840512482014,28.062221213072213,10.869276096634552,995.8678334135276,0.09011471373798036
115.5441641240541,-43.70719631971454,27.995650992099684,11.201721080089603,995.8622757633818,0.07940490357967799
104.73552322963306,-43.617010874311724,27.932864369954473,9.938312291632888,995.8584524703169,0.09820208710933497
108.98880378330199,-43.53972638765888,27.81526783424655,10.481697473034613,995.8657604571878,0.02326918135310958
104.88855678364796,-43.55601642630889,27.795468483201134,9.576681179893736,995.8678582320152,0.1029845119065701
108.17874806182851,-43.70194813421102,27.778552879796916,10.609968800221173,995.8585640869346,0.0374492646606326
113.58004485458183,-43.47222727207812,27.725127571666253,10.712779086382712,995.8635869681692,0.10326381256386026
105.36737172127565,-43.699854295911976,27.712006738936406,9.620518329788744,995.8663036430422,0.1133906377697648
98.92686737985987,-43.73532937824375,27.691179558985457,8.955631077985405,995.8534983046533,0.14201320118775243
143.82235817013554,-43.5990800476239,27.65565912781563,18.10906732038848,995.8428234338718,0.042943173953340096
141.8376307860183,-43.71238276998785,27.597397349590242,16.81276642759944,995.8665204068528,0.03571282432685325
141.31196960399961,-43.93576849727023,27.63351914398382,15.070583209448454,995.8676229529606,0.037471547904713354
140.97956797372564,-44.117982675724555,27.667271282748466,13.61136536904225,995.8663185608807,0.050203478137604715
140.52119512821568,-44.268498082219295,27.694488287888433,13.481823598516348,995.8631049201625,0.05046061801599534
138.10633364610905,-44.356223458339734,27.703599124362395,13.119532121568815,995.8610400418665,0.04706058769385691
139.8055257598588,-44.36824567516597,27.693124691167835,15.427885698326776,995.8610890935706,0.03862434014642178
140.86082189617167,-44.41388345431047,27.691001136411867,14.166545509289937,995.8622840253192,0.03939509199370689
138.5353465470938,-44.169825023711496,27.642891657527528,13.55337251737793,995.8584461496044,0.057518202702678586
138.21230105066442,-44.22146561166477,27.611683337182452,13.103327763946744,995.8674851449927,0.05107501374734173
143.346315772726,-44.35121678993651,27.636353651057526,13.702352551706394,995.8653672612068,0.04548537301595543
148.01156331369364,-44.44983254353933,27.655982040237316,14.249229545564958,995.8637883713625,0.0416108542189984
152.0287622520119,-44.5338768941106,27.67052941670213,14.727895197514218,995.8630244604499,0.0416659606501166
135.05812596389833,-44.362405234997716,27.634577687634618,12.89344328398274,995.8615055875533,0.07698347379836419
128.4001415855084,-44.34563064652854,27.599419514040346,11.928583992376181,995.8663720079588,0.07127278775817215
132.13925540970328,-44.30856175420442,27.595769114586513,12.201607694030455,995.8613090948419,0.08157759410538754
130.57943555393786,-44.37819373880312,27.589242836892943,11.86933815257295,995.8668111892565,0.06464913194543388
135.80344649523116,-44.44626523289822,27.6104262507433,12.522728137925256,995.8622423583756,0.05765255495711816
136.91429418533093,-44.40628644013598,27.610788483514998,12.587050142775862,995.8598097132772,0.06662322714902756
